age,job,marital,education,balance,housing,loan,car,contact,day,month,duration,campaign,previous,poutcome,subscribed,dia_semana
59,0.123,0.102,0.107,0.165,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,1,0.122
46,0.119,0.102,0.151,0.114,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
51,0.074,0.102,0.087,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
56,0.123,0.102,0.107,0.082,0.168,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,1,0.122
41,0.111,0.102,0.107,0.128,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,1,0.122
46,0.139,0.12,0.107,0.082,0.078,0.067,0.12,0.041,5,0.068,0.119,2,0,0.093,0,0.122
57,0.23,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
30,0.111,0.102,0.107,0.114,0.078,0.067,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
60,0.123,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
60,0.074,0.102,0.135,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
57,0.083,0.12,0.107,0.056,0.168,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
36,0.139,0.102,0.151,0.114,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
55,0.074,0.102,0.107,0.114,0.168,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
60,0.23,0.102,0.151,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
39,0.111,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
46,0.139,0.102,0.151,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
44,0.074,0.102,0.107,0.056,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
53,0.074,0.102,0.087,0.082,0.168,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
52,0.074,0.102,0.087,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
59,0.074,0.102,0.087,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,3,0,0.093,0,0.122
44,0.074,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
47,0.111,0.102,0.151,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
34,0.123,0.102,0.107,0.082,0.168,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
45,0.139,0.102,0.151,0.124,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
29,0.09,0.12,0.107,0.082,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
46,0.111,0.12,0.107,0.082,0.168,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
56,0.119,0.102,0.087,0.056,0.078,0.067,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
36,0.074,0.102,0.087,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
59,0.23,0.12,0.087,0.082,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
44,0.074,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
41,0.123,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
59,0.139,0.12,0.151,0.114,0.168,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
57,0.111,0.102,0.087,0.082,0.168,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
56,0.111,0.12,0.135,0.082,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
51,0.074,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
34,0.123,0.102,0.135,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,3,0,0.093,0,0.122
43,0.09,0.102,0.107,0.082,0.078,0.067,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
52,0.111,0.102,0.151,0.082,0.168,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
34,0.09,0.102,0.107,0.056,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
31,0.074,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
55,0.09,0.102,0.107,0.165,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,1,0.122
55,0.139,0.102,0.135,0.128,0.168,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
38,0.111,0.151,0.107,0.165,0.078,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
55,0.123,0.151,0.107,0.124,0.078,0.067,0.151,0.041,5,0.068,0.119,2,0,0.093,0,0.122
28,0.156,0.151,0.151,0.082,0.078,0.128,0.151,0.041,5,0.068,0.119,2,0,0.093,0,0.122
23,0.074,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
32,0.111,0.151,0.107,0.082,0.078,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
43,0.09,0.151,0.135,0.082,0.168,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
32,0.074,0.102,0.107,0.124,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
46,0.074,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
53,0.088,0.12,0.087,0.124,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
34,0.119,0.151,0.107,0.082,0.078,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
57,0.156,0.102,0.151,0.082,0.168,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
37,0.074,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
56,0.074,0.12,0.087,0.082,0.078,0.128,0.12,0.041,5,0.068,0.119,2,0,0.093,0,0.122
48,0.156,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
43,0.09,0.102,0.087,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
54,0.074,0.102,0.087,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
51,0.074,0.102,0.135,0.056,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
26,0.285,0.151,0.107,0.082,0.078,0.128,0.151,0.041,5,0.068,0.119,2,0,0.093,0,0.122
40,0.139,0.102,0.151,0.056,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
39,0.139,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
50,0.111,0.102,0.087,0.114,0.168,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
41,0.09,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
51,0.074,0.102,0.135,0.165,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
60,0.23,0.12,0.107,0.114,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
52,0.074,0.102,0.107,0.124,0.078,0.128,0.102,0.041,5,0.068,0.119,3,0,0.093,0,0.122
48,0.074,0.102,0.107,0.124,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
48,0.09,0.102,0.135,0.165,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
39,0.111,0.151,0.151,0.082,0.078,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
47,0.09,0.151,0.107,0.114,0.078,0.128,0.151,0.041,5,0.068,0.119,2,0,0.093,0,0.122
40,0.074,0.102,0.107,0.128,0.078,0.128,0.102,0.041,5,0.068,0.119,5,0,0.093,0,0.122
45,0.111,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
26,0.123,0.151,0.107,0.082,0.078,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
52,0.139,0.102,0.151,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
54,0.111,0.102,0.107,0.128,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
54,0.123,0.102,0.151,0.114,0.168,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,1,0.122
50,0.074,0.102,0.087,0.082,0.168,0.128,0.102,0.041,5,0.068,0.119,3,0,0.093,0,0.122
35,0.074,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
44,0.09,0.102,0.107,0.128,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
53,0.083,0.102,0.135,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
35,0.23,0.151,0.087,0.114,0.168,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
60,0.123,0.12,0.107,0.082,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
53,0.123,0.12,0.107,0.128,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
48,0.156,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
34,0.111,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
54,0.09,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
51,0.139,0.102,0.107,0.128,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
31,0.09,0.102,0.151,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
35,0.111,0.12,0.107,0.124,0.078,0.128,0.12,0.041,5,0.068,0.119,2,0,0.093,0,0.122
35,0.09,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
38,0.111,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
36,0.123,0.102,0.151,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
40,0.09,0.12,0.135,0.165,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
54,0.139,0.102,0.107,0.165,0.168,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
34,0.074,0.151,0.107,0.082,0.078,0.067,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
31,0.139,0.151,0.151,0.082,0.078,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
51,0.23,0.102,0.107,0.165,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
33,0.139,0.102,0.151,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
55,0.139,0.102,0.151,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
42,0.123,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
34,0.074,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
33,0.074,0.151,0.107,0.114,0.078,0.128,0.151,0.041,5,0.068,0.119,2,0,0.093,0,0.122
38,0.09,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
50,0.111,0.12,0.151,0.114,0.168,0.067,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
43,0.139,0.102,0.151,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
61,0.074,0.12,0.087,0.128,0.078,0.128,0.12,0.041,5,0.068,0.119,2,0,0.093,0,0.122
47,0.123,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
48,0.119,0.102,0.151,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
44,0.074,0.102,0.107,0.124,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
35,0.285,0.151,0.135,0.114,0.078,0.128,0.151,0.041,5,0.068,0.119,2,0,0.093,0,0.122
50,0.09,0.102,0.107,0.165,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
41,0.139,0.102,0.151,0.114,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
41,0.139,0.102,0.151,0.124,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
39,0.09,0.151,0.135,0.114,0.078,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
42,0.23,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
38,0.074,0.102,0.107,0.056,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
53,0.23,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
59,0.088,0.12,0.087,0.114,0.168,0.128,0.12,0.041,5,0.068,0.119,2,0,0.093,0,0.122
36,0.09,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
54,0.074,0.102,0.087,0.056,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
40,0.111,0.102,0.151,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
47,0.115,0.102,0.135,0.082,0.168,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
53,0.156,0.102,0.135,0.082,0.168,0.128,0.102,0.041,5,0.068,0.119,3,0,0.093,0,0.122
46,0.088,0.102,0.087,0.124,0.168,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
39,0.139,0.102,0.151,0.114,0.078,0.067,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
40,0.156,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
28,0.074,0.102,0.087,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
35,0.083,0.12,0.107,0.056,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
55,0.23,0.102,0.107,0.082,0.168,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
43,0.111,0.12,0.135,0.114,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
48,0.074,0.102,0.087,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
58,0.139,0.102,0.135,0.128,0.078,0.128,0.102,0.041,5,0.068,0.119,3,0,0.093,0,0.122
33,0.139,0.151,0.151,0.082,0.078,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
36,0.074,0.102,0.135,0.128,0.168,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
53,0.09,0.12,0.107,0.128,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
47,0.074,0.102,0.087,0.056,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
31,0.09,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
57,0.083,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
53,0.074,0.102,0.135,0.165,0.168,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
55,0.074,0.102,0.087,0.124,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
45,0.074,0.102,0.087,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
53,0.123,0.12,0.107,0.114,0.078,0.128,0.12,0.041,5,0.068,0.119,2,0,0.093,0,0.122
37,0.074,0.102,0.087,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
44,0.123,0.12,0.107,0.082,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
49,0.074,0.12,0.087,0.056,0.078,0.067,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
46,0.111,0.102,0.107,0.114,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
43,0.083,0.102,0.135,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
38,0.123,0.102,0.107,0.082,0.168,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
43,0.111,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
49,0.139,0.102,0.151,0.165,0.078,0.128,0.102,0.041,5,0.068,0.119,3,0,0.093,0,0.122
42,0.139,0.102,0.135,0.114,0.168,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
22,0.074,0.151,0.107,0.082,0.078,0.128,0.151,0.041,5,0.068,0.119,2,0,0.093,0,0.122
40,0.139,0.102,0.151,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
39,0.074,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
51,0.09,0.102,0.107,0.165,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
49,0.123,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
53,0.074,0.102,0.107,0.082,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
34,0.09,0.151,0.107,0.082,0.078,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
33,0.111,0.12,0.107,0.114,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
50,0.139,0.151,0.151,0.114,0.078,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
39,0.074,0.102,0.087,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
59,0.083,0.12,0.107,0.124,0.078,0.128,0.12,0.041,5,0.068,0.119,3,0,0.093,0,0.122
30,0.111,0.151,0.107,0.165,0.078,0.128,0.151,0.041,5,0.068,0.119,2,0,0.093,0,0.122
36,0.09,0.102,0.107,0.114,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
40,0.074,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
53,0.074,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
34,0.139,0.151,0.151,0.114,0.078,0.128,0.151,0.041,5,0.068,0.119,2,0,0.093,0,0.122
37,0.111,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
42,0.139,0.12,0.151,0.124,0.078,0.128,0.12,0.041,5,0.068,0.119,3,0,0.093,0,0.122
41,0.083,0.102,0.087,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
30,0.285,0.151,0.151,0.082,0.078,0.128,0.151,0.041,5,0.068,0.119,2,0,0.093,0,0.122
37,0.139,0.151,0.151,0.124,0.078,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
39,0.123,0.12,0.107,0.056,0.078,0.128,0.12,0.041,5,0.068,0.119,2,0,0.093,0,0.122
41,0.074,0.102,0.087,0.114,0.078,0.067,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
40,0.074,0.102,0.087,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
42,0.139,0.151,0.151,0.082,0.078,0.067,0.151,0.041,5,0.068,0.119,2,0,0.093,1,0.122
40,0.074,0.12,0.087,0.082,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
57,0.111,0.102,0.107,0.128,0.078,0.128,0.102,0.041,5,0.068,0.0,4,0,0.093,0,0.122
56,0.083,0.12,0.107,0.114,0.168,0.128,0.12,0.041,5,0.068,0.119,3,0,0.093,0,0.122
37,0.123,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
59,0.23,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,3,0,0.093,0,0.122
39,0.09,0.12,0.107,0.056,0.078,0.128,0.12,0.041,5,0.068,0.119,3,0,0.093,0,0.122
49,0.09,0.102,0.107,0.082,0.168,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
38,0.09,0.151,0.107,0.124,0.078,0.128,0.151,0.041,5,0.068,0.119,2,0,0.093,0,0.122
36,0.119,0.102,0.151,0.082,0.168,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
